x,y
15.7,12.4
15.5,11.2
11,11.2
15.5,11.1
11.7,9.6
12.4,11.4
11.1,11.5
9.6,10.9
8.3,7.2
14,13.3
13.2,13
15.3,9.3
15.5,11.2
15.4,7.3
16.1,14.3
12.4,13.7
12.2,11.8
15.1,11.7
14,12.9
9.6,10.9
16.3,14.3
12.6,10.6
10.5,12.9
14,12.8
15.5,11.3
11,11.2
13.3,12.9
13.9,13.6
13.3,9.6
12.7,10.7
15.4,11.2
15.7,13.9
13.8,11.1
11.7,10.5
16.1,14.3
12.6,11
15.4,11.3
16.3,14.4
12.5,12.1
15.7,12.9
11.5,12.6
14.2,12.1
16.3,10.1
13.6,11.2
12.6,10.4
11.7,11.2
8.8,10.9
10.9,14.7
11.6,11.1
13,11.2
13.7,11.3
11.1,11.8
14.6,12.3
10.4,11.6
13.1,12.3
11.9,14.2
13.3,10.3
9.9,12.2
12.7,12.8
9.3,10.6
11.6,9.5
13.1,12.3
11.4,11
13.6,11.5
11.8,13.6
16.3,14.4
8.7,12.1
15.7,12.2
12.2,11.4
14.8,14.1
13.5,8.9
15.7,12.9
11.9,14.2
12.5,12.8
14.4,13.1
12.2,14.1
15.3,11.4
11.5,10.8
9,11.2
10.8,8.8
14.9,10.1
13.2,11.9
13.4,8.8
14.4,12
12.2,11.4
12,14.6
13.6,11.6
8.8,12
13.4,11
12.6,12.8
15.6,14.2
12.5,12
12.4,11.3
12.4,11.4
13.4,12.6
12,11.4
9.9,11.8
12.1,13.6
14.4,13.1
15.7,12.9
13.8,11.1
11.4,10.9
13.8,14.2
15.6,11.3
15,10.2
14.1,13.1
13.2,9.8
13.3,13
10.9,12
12.1,10
14,13.9
11.3,10.8
13.4,13
13.5,12.5
14.8,12
13,11
12.4,11.3
12.3,14.8
13.1,12.4
14.8,13.2
9.8,12.5
14.1,10.6
12,14.6
16.1,14.2
12.7,11.3
14.7,10.1
8.8,12.1
10.5,12.3
12.2,14.2
11.7,13.6
8.3,11.6
12.4,13.2
16.7,8.4
15.7,7.2
16.1,14.3
14.3,10.5
9.7,12.4
13.3,12.9
16.1,10
14.4,10.4
13.4,10.9
14.5,9
14.6,11.4
13.7,13.9
16.2,14.2
16.3,14.4
12.8,14.3
13.4,11.9
11.2,8.6
11.6,12.2
14.7,11.9
9.4,10.8
9.5,10.7
15.7,11.6
14.3,12.5
14.2,13.4
11.5,10.4
15,10.4
13.1,12.4
11,12
11.9,14.2
13.5,8.9
14.1,13.1
10.9,16.5
14.2,9.4
10.4,11.2
15.6,11.3
11.3,11.5
13,9.6
13.6,13.1
11.1,11.6
14.6,11.4
15.2,8.6
13.4,10.4
16.1,10.9
14.3,10.4
16.4,14.4
12.6,15
13.3,10.8
11,12.1
10.1,10.6
15.6,12.6
14.2,13.4
13.4,12.5
10.8,11.6
13.2,10.6
13.8,12.6
11.4,11
12.9,9.8
13.6,11.1
13.3,14.3
12.2,11.4
14.4,10.3
8.9,12.1
15.5,14.2
14.3,10.4
10,11.3
13.2,14.3
10.5,12.5
9.5,10.6
10.4,11.2
10.9,14.6
13.3,11
12.6,11
13.1,14.2
11.6,10.5
13.6,10.1
13.4,13.1
13.7,11.1
10.7,12.5
12.2,14.1
14,13.3
14.8,9.2
15.1,10.1
16.2,9.9
15.3,11.4
12.5,11.1
14.7,11.4
12.5,11.1
10.9,14.7
15.7,12.9
11.7,12.6
9.5,11.5
13.3,14.8
13.6,15.3
13.4,10.3
13.5,12.5
11.1,11.1
12.9,10.9
12.8,16
15.3,9.8
12.8,11.3
9.2,11.1
14.4,12
15.6,10.9
10.4,11.2
13,10.7
13.2,11.9
11,9.7
13.5,11
9.6,10.6
14.5,10.6
12.5,11.1
10.7,12.5
13.3,12.9
9.4,11
13.4,11.9
13.5,11.1
13.5,11
13.6,9.1
14.3,15.6
9.6,10.6
14.1,15.5
12.9,13.8
15.4,13.8
13.8,12.7
11.4,9.9
12.4,11.4
12.7,11.3
13.6,11.5
14.1,13.1
15.1,10.1
15.3,13.6
14.7,10.2
13.4,12.5
12.3,11.9
14.3,10.4
12.4,11.6
12.1,10.3
12.4,11.5
15.1,10.2
17.3,11.6
12.4,11.9
15,12.5
